name,school,conference,games_played,rec_col,rec_yds_col,ypr_col,rec_td_col,rush_attempts,rush_yds,ypc,rush_td,team,age,position,games,games_started,targets,rec_nfl,catch%,worth,rec_yds_nfl,ypr_nfl,rec_td_nfl,first_downs,longest_rec,yards_per_target,rec_per_game,yards_per_game,fumbles
Amara Darboh,Michigan,Big Ten,13,57,862,15.1,7,0,0,,0,SEA,23,wr,16,0,13,8,61.50%,0,71,8.9,0,2,16,5.5,0.5,4.4,0
Chad Hansen,California,Pac-12,10,92,1249,13.6,11,0,0,,0,NYJ,22,wr,15,1,17,9,52.90%,0,94,10.4,0,7,24,5.5,0.6,6.3,0
Chris Godwin,Penn State,Big Ten,13,59,982,16.6,11,1,13,13,0,TAM,21,wr,16,2,55,34,61.80%,1,525,15.4,1,27,70,9.5,2.1,32.8,0
Corey Davis,Western Michigan,MAC,14,97,1500,15.5,19,1,0,0,0,TEN,22,WR,11,9,65,34,52.30%,0,375,11,0,17,37,5.8,3.1,34.1,1
Dede Westbrook,Oklahoma,Big 12,13,80,1524,19.1,17,10,101,10.1,0,JAX,24,wr,7,5,51,27,52.90%,0,339,12.6,1,15,29,6.6,3.9,48.4,1
Isaiah McKenzie,Georgia,SEC,13,44,633,14.4,7,19,134,7.1,2,DEN,22,wr,11,0,13,4,30.80%,0,29,7.3,0,2,14,2.2,0.4,2.6,6
Jehu Chesson,Michigan,Big Ten,13,35,500,14.3,2,12,63,5.3,1,KAN,24,wr,12,1,4,2,50.00%,0,18,9,0,2,10,4.5,0.2,1.5,0
Josh Malone,Tennessee,SEC,13,50,972,19.4,11,0,0,,0,CIN,21,wr,11,7,17,6,35.30%,0,63,10.5,1,3,25,3.7,0.5,5.7,0
Josh Reynolds,Texas A&M,SEC,13,61,1039,17,12,0,0,,0,LAR,22,wr,16,1,24,11,45.80%,0,104,9.5,1,8,28,4.3,0.7,6.5,0
JuJu Smith-Schuster,USC,Pac-12,13,70,914,13.1,10,5,27,5.4,0,PIT,21,wr,14,7,79,58,73.40%,1,917,15.8,7,37,97,11.6,4.1,65.5,0
Michael Clark,Marshall,CUSA,11,37,632,17.1,5,0,0,,0,GNB,22,wr,2,0,14,4,28.60%,0,41,10.3,0,2,19,2.9,2,20.5,0
Mike Williams,Clemson,ACC,15,98,1361,13.9,11,0,0,,0,LAC,23,wr,10,1,23,11,47.80%,0,95,8.6,0,7,20,4.1,1.1,9.5,0
Noah Brown,Ohio State,Big Ten,12,32,402,12.6,7,0,0,,0,DAL,21,wr,13,1,9,4,44.40%,0,33,8.3,0,3,14,3.7,0.3,2.5,0
Ryan Switzer,North Carolina,ACC,13,96,1112,11.6,6,3,14,4.7,0,DAL,23,wr,16,0,7,6,85.70%,0,41,6.8,0,4,12,5.9,0.4,2.6,1
Shelton Gibson,West Virginia,Big 12,13,43,951,22.1,8,2,29,14.5,0,PHI,22,wr,5,0,3,2,66.70%,0,11,5.5,0,1,6,3.7,0.4,2.2,0
Tanner Gentry,Wyoming,MWC,14,72,1326,18.4,14,6,30,5,0,CHI,23,wr,4,3,6,3,50.00%,0,35,11.7,0,2,15,5.8,0.8,8.8,0
Taywan Taylor,Western Kentucky,CUSA,14,98,1730,17.7,17,6,36,6,0,TEN,22,wr,16,4,28,16,57.10%,0,231,14.4,1,9,53,8.3,1,14.4,0
Travis Rudolph,Florida State,ACC,13,56,840,15,7,0,0,,0,NYG,22,wr,7,1,21,8,38.10%,0,101,12.6,0,4,29,4.8,1.1,14.4,0
Trent Taylor,Louisiana Tech,CUSA,14,136,1803,13.3,12,0,0,,0,SFO,23,wr,15,1,60,43,71.70%,1,430,10,2,27,33,7.2,2.9,28.7,1
Zay Jones,East Carolina,American,12,158,1746,11.1,8,4,24,6,0,BUF,22,WR,15,10,74,27,36.50%,0,316,11.7,2,19,33,4.3,1.8,21.1,0
