name,games_played,rec_col,rec_yds_col,ypr_col,rec_td_col,rush_attempts,rush_yds,ypc,rush_td,worth,age_x,taller_six,weight,drafted,invited,power_five
D.K. Metcalf,7,26,569,21.9,5,0,0,0.0,0,1,22,1,228,1,1,1
Terry McLaurin,12,35,701,20.0,11,0,0,0.0,0,1,24,1,208,1,1,1
Darius Slayton,11,35,670,19.1,5,0,0,0.0,0,1,22,1,190,1,1,1
Marquise Brown,12,75,1318,17.6,10,2,0,0.0,0,1,22,0,166,1,1,1
JJ Arcega-Whiteside,12,63,1059,16.8,14,0,0,0.0,0,0,23,1,225,1,1,1
Andy Isabella,12,102,1698,16.6,13,11,79,7.2,1,0,23,0,188,1,1,0
Scott Miller,11,71,1148,16.2,9,4,16,4.0,0,0,22,0,174,0,0,0
Damion Willis,11,56,876,15.6,10,0,0,0.0,0,0,22,1,204,0,0,0
A.J. Brown,12,85,1320,15.5,6,0,0,0.0,0,1,22,1,226,1,1,1
Diontae Johnson,13,49,761,15.5,8,2,17,8.5,0,1,23,0,183,1,1,0
Mecole Hardman,14,35,543,15.5,7,5,36,7.2,0,1,21,0,187,1,1,1
John Ursua,13,89,1343,15.1,16,2,4,2.0,1,0,25,0,182,0,0,0
N'Keal Harry,12,73,1088,14.9,9,7,10,1.4,1,0,22,1,228,1,1,1
Miles Boykin,13,59,872,14.8,8,0,0,0.0,0,0,23,1,220,1,1,0
Olabisi Johnson,11,54,796,14.7,4,0,0,0.0,0,0,22,1,205,0,0,0
Kelvin Harmon,12,81,1186,14.6,7,0,0,0.0,0,0,23,1,221,1,1,1
Deebo Samuel,12,62,882,14.2,11,8,26,3.3,0,1,23,0,214,1,1,1
KeeSean Johnson,14,95,1340,14.1,8,4,14,3.5,0,0,23,1,201,1,1,0
Preston Williams,12,96,1345,14.0,14,4,13,3.3,0,1,22,1,218,0,0,0
Ventell Bryant,13,51,690,13.5,3,3,12,4.0,0,0,23,1,205,0,0,0
Riley Ridley,14,43,559,13.0,9,0,0,0.0,0,0,23,1,199,1,1,1
Parris Campbell,14,90,1063,11.8,12,9,24,2.7,0,0,22,1,205,1,1,1
Olamide Zaccheaus,13,93,1058,11.4,9,16,83,5.2,0,0,22,0,193,0,0,1
Jakobi Meyers,12,92,1047,11.4,4,3,-9,-3.0,0,0,23,1,203,0,1,1
Hunter Renfrow,15,49,544,11.1,1,0,0,0.0,0,1,24,0,184,1,1,1
